-21257.384473237486,38249.682240029055,-0.007000000000000117,ST3_STAJK_100
-21259.55745011985,38249.07703637019,-0.008000000000000118,ST3_STAJK_99
-21259.484767206,38246.70991867264,-0.008000000000000118,ST3_STAJK_98
-21256.46126719516,38248.493441222105,-0.008000000000000118,ST3_STAJK_97
-21256.614656802878,38245.10747701257,-0.008000000000000118,ST3_STAJK_96
-21258.09679877849,38245.37546985599,-0.008000000000000118,ST3_STAJK_95
-21258.01161636811,38243.120444810236,-0.007000000000000117,ST3_STAJK_94
-21258.130082523698,38241.09610843257,-0.008000000000000118,ST3_STAJK_93
-21256.905484220533,38240.95486043828,-0.008000000000000118,ST3_STAJK_92
-21255.149631228735,38241.017520403126,-0.007000000000000117,ST3_STAJK_91
-21255.023861836158,38242.58268942273,-0.009000000000000119,ST3_STAJK_90
-21254.91723843122,38245.57670603081,-0.009000000000000119,ST3_STAJK_89
-21254.93931888734,38247.437336422234,-0.009000000000000119,ST3_STAJK_88
-21254.73823038087,38249.25553316972,-0.007000000000000117,ST3_STAJK_87
-21254.586569261173,38250.62727618675,-0.007000000000000117,ST3_STAJK_86
-21254.548821220305,38252.59425765219,-0.01000000000000012,ST3_STAJK_85
-21254.988304941122,38254.98396224882,-0.0050000000000001155,ST3_STAJK_84
-21255.340353677013,38257.82863071589,-0.006000000000000116,ST3_STAJK_83
-21254.94575239608,38260.52825176876,-0.006000000000000116,ST3_STAJK_82
-21254.49178709001,38263.64111114575,-0.0050000000000001155,ST3_STAJK_81
-21256.507015211857,38253.85325578223,-0.008000000000000118,ST3_STAJK_80
-21256.68199055075,38257.15959297478,-0.006000000000000116,ST3_STAJK_79
-21256.86430408555,38260.67261386498,-0.007000000000000117,ST3_STAJK_78
-21257.005830531427,38263.3867972164,-0.006000000000000116,ST3_STAJK_77
-21258.68004317981,38263.57737005813,-0.0050000000000001155,ST3_STAJK_76
-21259.415446951833,38262.449295906255,-0.006000000000000116,ST3_STAJK_75
-21259.334129040297,38260.03056971314,-0.006000000000000116,ST3_STAJK_74
-21258.8562384925,38258.35874387762,-0.0050000000000001155,ST3_STAJK_73
-21257.471043302015,38255.588408467556,-0.006000000000000116,ST3_STAJK_72
-21257.738926265694,38253.069130055446,-0.007000000000000117,ST3_STAJK_71
-21258.59472557753,38254.40375866965,-0.007000000000000117,ST3_STAJK_70
-21259.541536736062,38255.88129230042,-0.007000000000000117,ST3_STAJK_69
-21260.42597464427,38257.70856666038,-0.006000000000000116,ST3_STAJK_68
-21262.07405615331,38258.176199357644,-0.007000000000000117,ST3_STAJK_67
-21262.09457136206,38259.84229813209,-0.007000000000000117,ST3_STAJK_66
-21263.179857277864,38261.53112005312,-0.007000000000000117,ST3_STAJK_65
-21265.227577003083,38263.94047036533,-0.004000000000000115,ST3_STAJK_64
-21265.37671506242,38262.59823385887,-0.006000000000000116,ST3_STAJK_63
-21265.689791969322,38261.774311016394,-0.006000000000000116,ST3_STAJK_62
-21267.85147237284,38264.26349217353,-0.0050000000000001155,ST3_STAJK_61
-21270.100699814313,38264.91632899581,-0.004000000000000115,ST3_STAJK_60
-21271.31528063275,38264.80731782444,-0.004000000000000115,ST3_STAJK_59
-21269.917391795592,38262.864764916805,-0.006000000000000116,ST3_STAJK_58
-21271.445911345494,38260.85637925026,-0.004000000000000115,ST3_STAJK_57
-21271.06908650288,38261.43178609588,-0.006000000000000116,ST3_STAJK_56
-21270.076197422317,38260.9818135704,-0.007000000000000117,ST3_STAJK_55
-21267.06782514228,38258.774798793675,-0.006000000000000116,ST3_STAJK_54
-21265.58329697918,38258.06266598796,-0.006000000000000116,ST3_STAJK_53
-21264.145745561822,38257.32591235042,-0.006000000000000116,ST3_STAJK_52
-21262.69016532514,38256.130972111496,-0.007000000000000117,ST3_STAJK_51
-21261.75684113487,38255.36172380578,-0.008000000000000118,ST3_STAJK_50
-21260.458418257884,38254.290773745066,-0.006000000000000116,ST3_STAJK_49
-21258.80380184949,38252.334402220775,-0.008000000000000118,ST3_STAJK_48
-21260.568502258047,38253.363647802755,-0.007000000000000117,ST3_STAJK_47
-21262.286787467805,38254.36655654133,-0.007000000000000117,ST3_STAJK_46
-21263.848655411617,38255.278039687706,-0.006000000000000116,ST3_STAJK_45
-21265.076398100828,38255.99407382731,-0.007000000000000117,ST3_STAJK_44
-21267.15843993344,38257.20855553045,-0.006000000000000116,ST3_STAJK_43
-21270.204194272417,38258.89040882565,-0.0050000000000001155,ST3_STAJK_42
-21289.29318701583,38260.928185565645,-0.0050000000000001155,ST3_STAJK_41
-21285.60688589479,38259.80688184005,-0.0050000000000001155,ST3_STAJK_40
-21283.05146182138,38259.02951139745,-0.0050000000000001155,ST3_STAJK_39
-21280.306837551394,38258.193734742716,-0.0050000000000001155,ST3_STAJK_38
-21277.53250169215,38257.34911379808,-0.006000000000000116,ST3_STAJK_37
-21278.43042811653,38257.24183315496,-0.004000000000000115,ST3_STAJK_36
-21280.298094550097,38257.7779600923,-0.0050000000000001155,ST3_STAJK_35
-21281.283346869146,38258.06080787434,-0.0050000000000001155,ST3_STAJK_34
-21283.01079600201,38258.55623949766,-0.0050000000000001155,ST3_STAJK_33
-21285.702126510252,38259.32920074856,-0.0030000000000001137,ST3_STAJK_32
-21288.060023007434,38260.00603832773,-0.004000000000000115,ST3_STAJK_31
-21289.206863570857,38260.33489957824,-0.006000000000000116,ST3_STAJK_30
-21289.330050288416,38259.801892043004,-0.004000000000000115,ST3_STAJK_29
-21287.306715735052,38259.25594489797,-0.002000000000000113,ST3_STAJK_28
